Order ID,Date,Status,Fulfilment,Sales Channel,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code
405-8078784-5731545,30-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,S,On the Way,0,INR,647.62,MUMBAI,MAHARASHTRA,400081
171-9198151-1101146,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,3XL,Shipped,1,INR,406,BENGALURU,KARNATAKA,560085
404-0687676-7273146,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,329,NAVI MUMBAI,MAHARASHTRA,410210
403-9615377-8133951,30-04-2022,Cancelled,Merchant,Amazon.in,Blazzer,L,On the Way,0,INR,753.33,PUDUCHERRY,PUDUCHERRY,605008
407-1069790-7240320,30-04-2022,Shipped,Amazon,Amazon.in,Trousers,3XL,Shipped,1,INR,574,CHENNAI,TAMIL NADU,600073
404-1490984-4578765,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XL,Shipped,1,INR,824,GHAZIABAD,UTTAR PRADESH,201102
408-5748499-6859555,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,653,CHANDIGARH,CHANDIGARH,160036
406-7807733-3785945,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,S,Shipped,1,INR,399,HYDERABAD,TELANGANA,500032
407-5443024-5233168,30-04-2022,Cancelled,Amazon,Amazon.in,T-shirt,3XL,Cancelled,0,,,HYDERABAD,TELANGANA,500008
402-4393761-0311520,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XXL,Shipped,1,INR,363,Chennai,TAMIL NADU,600041
407-5633625-6970741,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,685,CHENNAI,TAMIL NADU,600073
171-4638481-6326716,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XS,Shipped,1,INR,364,NOIDA,UTTAR PRADESH,201303
405-5513694-8146768,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,XS,Shipped,1,INR,399,Amravati.,MAHARASHTRA,444606
408-7955685-3083534,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,657,MUMBAI,MAHARASHTRA,400053
408-1298370-1920302,30-04-2022,Delivered,Merchant,Amazon.in,T-shirt,L,Shipped,1,INR,771,MUMBAI,MAHARASHTRA,400053
403-4965581-9520319,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,6XL,Shipped,1,INR,544,GUNTAKAL,ANDHRA PRADESH,515801
406-9379318-6555504,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XXL,Shipped,1,INR,329,JAIPUR,RAJASTHAN,302020
405-9013803-8009918,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,399,NEW DELHI,DELHI,110074
402-4030358-5835511,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,XXL,Shipped,1,INR,458,Gurgaon,HARYANA,122004
405-5957858-1051546,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,886,BENGALURU,KARNATAKA,560017
405-0607769-0716360,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,3XL,Shipped,1,INR,517,TIRUCHIRAPPALLI,TAMIL NADU,620018
404-8494550-5860325,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,666,BENGALURU,KARNATAKA,560040
171-1305077-2813934,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,L,Shipped,1,INR,376,HYDERABAD,TELANGANA,500072
404-6019946-2909948,30-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,M,On the Way,0,INR,570.48,pune,MAHARASHTRA,411044
402-3384087-4005164,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,L,Shipped,1,INR,499,TEZPUR,ASSAM,784001
405-8191138-5176316,30-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XS,Shipped,1,INR,582,RANCHI,JHARKHAND,834002
403-9230474-9657916,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,3XL,Shipped,1,INR,299,BILASPUR,CHHATTISGARH,495001
408-3484251-6901959,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,4XL,Shipped,1,INR,459,PUNE,MAHARASHTRA,411052
405-7755803-4729935,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,M,Shipped,1,INR,399,BENGALURU,KARNATAKA,560037
404-5933402-8801952,30-04-2022,Cancelled,Merchant,Amazon.in,Shirt,3XL,On the Way,0,,,GUWAHATI,ASSAM,781003
171-9040274-9291563,30-04-2022,Shipped,Amazon,Amazon.in,Blazzer,S,Shipped,1,INR,791,THIRUVARUR,TAMIL NADU,613704
403-7056319-0979561,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226010
404-9632124-1107550,30-04-2022,Delivered,Merchant,Amazon.in,T-shirt,M,Shipped,1,INR,1233,VISAKHAPATNAM,ANDHRA PRADESH,530016
402-1465437-0579556,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,M,Shipped,1,INR,517,JEYPUR,ODISHA,764001
404-7774085-3780319,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,376,HYDERABAD,TELANGANA,500028
402-2764952-1492318,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226016
406-0272200-7784379,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,666,CHENNAI,TAMIL NADU,600033
403-4367956-2849158,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,487,NEW DELHI,DELHI,110092
403-4367956-2849158,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,368,NEW DELHI,DELHI,110092
403-4242957-8599555,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,L,Shipped,1,INR,399,THIRUVANANTHAPURAM,KERALA,695011
408-7165704-5643524,30-04-2022,Shipped,Amazon,Amazon.in,Perfume,Free,Shipped,1,INR,699,GREATER NOIDA,UTTAR PRADESH,201306
402-8210765-3935569,30-04-2022,Shipped,Amazon,Amazon.in,Blazzer,3XL,Shipped,1,INR,885,JABALPUR,MADHYA PRADESH,482002
406-7398201-3869914,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,M,Shipped,1,INR,424,MUMBAI,MAHARASHTRA,400092
408-3478480-0881162,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,1126,LUCKNOW,UTTAR PRADESH,226017
402-7595162-9129931,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,788,MUMBAI,MAHARASHTRA,400076
171-6876154-6233146,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,759,KOLKATA,WEST BENGAL,700014
408-3917043-5314763,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,1146,ONGOLE,ANDHRA PRADESH,523001
408-9281152-6213100,30-04-2022,Shipped,Amazon,Amazon.in,Trousers,S,Shipped,1,INR,665,SECUNDERABAD,TELANGANA,500017
403-3496411-3082707,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,429,HYDERABAD,TELANGANA,500062
171-9208368-0157156,30-04-2022,Delivered,Merchant,Amazon.in,Shirt,M,Shipped,1,INR,399,KEWALPUR,UTTAR PRADESH,271881
408-2137113-0982751,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,848,CUTTACK,ODISHA,753012
402-3628566-9688333,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,654,BADLAPUR,MAHARASHTRA,421503
408-7138000-9728362,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,1033,dimapur,NAGALAND,797112
402-1752649-2274748,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,390,BENGALURU,KARNATAKA,560047
402-7944191-1869101,30-04-2022,Shipped,Amazon,Amazon.in,Trousers,L,Shipped,1,INR,493,BENGALURU,KARNATAKA,560076
407-4063876-9566742,30-04-2022,Shipped,Amazon,Amazon.in,Blazzer,S,Shipped,1,INR,721,WARANGAL,TELANGANA,506001
403-0752752-4656334,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,597,DHAULPUR,RAJASTHAN,328024
406-8879861-2081117,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,L,Shipped,1,INR,399,GUWAHATI,ASSAM,781029
406-8089333-7941903,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,888,Bengaluru,KARNATAKA,560103
171-3072652-6805159,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,XXL,Shipped,1,INR,353,HYDERABAD,TELANGANA,500072
171-2592464-6846743,30-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XL,Shipped,1,INR,599,BENGALURU,KARNATAKA,560023
404-2262140-4696366,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,M,Shipped,1,INR,518,NAGPUR,MAHARASHTRA,440022
404-2262140-4696366,30-04-2022,Shipped,Amazon,Amazon.in,Shirt,M,Shipped,1,INR,295,NAGPUR,MAHARASHTRA,440022
405-3594372-1614709,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306
407-2974257-4781134,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,824,THANE,MAHARASHTRA,400607
171-4137548-0481151,30-04-2022,Cancelled,Amazon,Amazon.in,Shirt,XXL,Cancelled,0,,,Dahod,Gujarat,389151
405-4461562-9113959,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XXL,Shipped,1,INR,909,RANCHI,JHARKHAND,834004
404-4535078-5241919,30-04-2022,Shipped,Amazon,Amazon.in,Trousers,L,Shipped,1,INR,432,PUNE,MAHARASHTRA,411014
405-8387725-2971512,30-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,545,BENGALURU,KARNATAKA,560040
